Student,State,A1A_Q1,A1A_Q2,A1A_Q3,A1A_Q4,A1A_Q5,A1A_Q6,A1A_Q7,A1A_Q8,A1A_Q9,A1A_Q10,A1A_Q11,A1A_Q12,A1A_Result,A1A_Result
student1,1,1,1,1,1,1,0,0,1,1,0,0,1,6.67,56
student1,1,1,0.51,1,1,1,1,1,1,1,1,1,1,9.58,80
student1,1,1,1,1,1,0.76,1,0,1,1,1,1,1,8.96,75
student1,1,1,0.51,1,1,1,1,1,1,1,1,1,1,9.58,80
student1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,83
student2,1,1,1,1,1,0.25,0,0.51,0,0,0,1,1,5.63,47
student3,1,1,1,1,1,0.51,1,0,1,1,1,0,1,7.92,66
student4,1,1,1,1,0.67,0.25,0,1,0,0,0,0,0,4.1,34
student5,1,1,1,1,0.67,1,1,1,0,1,0,1,0,7.22,60
student6,1,1,1,1,0.67,1,0,1,0,1,1,0,0,6.39,53
student6,1,0.81,1,1,0.67,1,0,1,1,1,1,1,0,7.89,66
student6,1,1,1,0.67,1,1,1,0,0,1,1,1,1,8.06,67
student6,1,1,1,1,1,1,1,1,1,1,1,0,1,9.17,76
student7,1,1,1,0.51,1,0.51,0,0,1,0,0,0,0,4.17,35
student7,1,1,1,1,1,0.51,0,1,1,0,1,0,1,7.08,59
student7,1,1,1,1,0.51,1,0,1,0,0,0,1,0,5.42,45
student7,1,1,1,1,1,1,1,1,1,1,1,1,1,10,83
student8,1,1,1,1,0.34,0.51,0,0,0,0,1,0,0,4.03,34
student8,1,1,1,1,0.51,0.51,0,0,0,1,0,0,1,5,42
student8,0,0.25,0.67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
student9,1,1,1,1,0.51,0.76,0,0,0,1,1,0,1,6.04,50
student10,1,1,1,1,1,1,0,0,1,1,1,1,1,8.33,69
student10,1,1,0.51,1,1,0.76,1,1,1,0,1,1,0,7.71,64
student10,1,1,1,1,1,1,1,1,1,1,1,1,1,10,83
student11,1,1,1,1,0.51,0.51,0,1,0,1,0,0,0,5,42
student11,1,1,1,1,1,1,0,1,1,1,1,0,1,8.33,69
student12,1,1,0.51,0.51,0.83,0.51,1,0,0,1,1,0,1,6.11,51
student13,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
student14,1,1,1,1,0.67,0.51,0,0,1,0,0,0,0,4.31,36
student14,1,1,1,1,1,1,1,1,0,1,1,1,1,9.17,76
student15,1,1,1,1,NA,0.25,0,0,0,0,0,1,0,3.54,30
student15,1,1,1,1,0.67,0.51,1,1,NA,1,1,0,1,7.64,64
student16,1,1,1,1,1,1,0,0,0,1,1,0,1,6.67,56
student16,1,1,1,1,1,0.76,1,1,1,1,1,0,1,8.96,75
student17,1,0.51,1,1,0.67,0.25,0,0,0,0,0,0,0,2.85,24
student17,1,1,1,1,0.67,1,0,0,0,0,0,0,0,3.89,32
student17,1,0.67,1,1,1,1,1,1,1,1,1,1,1,9.72,81
student17,1,1,1,1,1,1,1,1,1,1,0,0,1,8.33,69
student17,1,1,1,1,1,1,1,0,1,0,1,1,1,8.33,69
student17,1,1,1,1,1,1,1,1,1,1,1,1,1,10,83
student18,1,0.51,1,1,1,1,0,1,1,0,1,1,0,7.08,59
student19,1,1,1,1,0.67,0.51,0,1,1,0,0,0,0,5.14,43
student19,1,1,0.51,1,1,1,0,0,1,1,0,0,1,6.25,52
student19,1,1,1,0.60,1,1,0,0,0,1,0,1,1,6.33,53
student19,1,1,1,0.51,0.67,1,1,1,1,0,0,0,1,6.81,57
student20,1,1,1,1,1,1,0,0,1,0,1,1,1,7.5,63
student21,1,1,1,1,0.67,0.51,1,0,0,0,0,1,0,5.14,43
student22,1,1,1,1,1,0.76,1,0,1,1,1,0,1,8.13,68
student22,1,1,1,1,1,1,1,1,1,1,1,1,1,10,83
student23,1,1,1,1,1,1,0,1,0,1,0,1,1,7.5,63
student24,1,1,1,1,0.17,0.51,1,0,0,1,0,1,0,5.56,46
student25,1,1,1,1,0.83,0.76,0,0,0,0,0,0,0,3.82,32
student26,1,0.51,1,0.51,1,1,0,1,1,1,0,1,0,6.67,56
student27,1,1,1,0.67,0.67,1,0,1,1,0,1,0,0,6.11,51
student28,1,1,1,1,0.67,0.51,1,1,0,0,1,0,0,5.97,50
student29,1,1,1,1,0.51,0,1,0,0,0,0,0,1,4.58,38
student30,1,1,1,1,1,1,1,1,1,0,1,0,0,7.5,63
student31,1,0.51,1,1,0.34,0.51,0,0,0,1,1,0,0,4.44,37
student32,1,0.67,1,1,1,1,1,1,0,1,1,1,1,8.89,74
student33,1,1,1,1,1,1,0,1,0,1,1,1,1,8.33,69
student33,1,1,1,1,1,1,1,1,1,1,1,1,1,10,83
student33,1,1,1,1,1,1,1,1,1,1,1,1,1,10,83
student34,1,0.67,1,0.51,0.34,0,1,0,0,1,0,0,0,3.75,31
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
